registrant_name,inaugural_dollars,n_items,q4_2024,q1_2025,y2025_total,sector
OCCIDENTAL PETROLEUM CORPORATION,2000000.0,2,3860000.0,2480000.0,11330000.0,Oil & gas
"UBER TECHNOLOGIES, INC.",1000000.0,1,730000.0,650000.0,3210000.0,Big tech
"META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES",1000000.0,1,5580000.0,7990000.0,26100000.0,Big tech
"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",1000000.0,1,900000.0,1210000.0,3880000.0,Big tech
ALTRIA CLIENT SERVICES LLC,1000000.0,1,3770000.0,3140000.0,12370000.0,Tobacco
"FORIS DAX, INC. & ITS AFFILIATED ENTITIES D/B/A CRYPTO.COM",1000000.0,1,540000.0,490000.0,1970000.0,Crypto
PARADIGM OPERATIONS LP,1000000.0,1,250000.0,270000.0,1380000.0,Crypto
FCA US LLC,1000000.0,1,1030000.0,1080000.0,2950000.0,Autos
"COINBASE, INC.",1000000.0,1,950000.0,1160000.0,3720000.0,Crypto
"QUALCOMM, INCORPORATED",1000000.0,1,1920000.0,1720000.0,6530000.0,Big tech
"THE GOLDMAN SACHS GROUP, INC.",1000000.0,2,710000.0,1100000.0,3960000.0,Finance
CARRIER GLOBAL CORPORATION,1000000.0,1,546381.0,1043920.0,2797214.0,Industrial
BROADCOM INC.,1000000.0,1,450000.0,570000.0,1820000.0,Big tech
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),750000.0,1,1100000.0,1040000.0,3630000.0,Big tech
DRAFTKINGS INC. AND ITS AFFILIATES,502000.0,2,,,490000.0,Gambling
ELI LILLY AND COMPANY,500000.0,1,190000.0,3350000.0,10595000.0,Pharma
HONEYWELL INTERNATIONAL,500000.0,1,2460000.0,2940000.0,10310000.0,Defense
OKLO INC.,250000.0,1,240000.0,424000.0,1234000.0,Nuclear
"MOTOROLA SOLUTIONS, INC",250000.0,1,550000.0,440000.0,1880000.0,Industrial
"A10 ASSOCIATES, LLC",250000.0,1,1505000.0,3238333.33,6231666.33,Lobby firm
FLUOR CORPORATION,250000.0,1,784804.0,825887.0,3067929.0,Engineering
"FIRST SOLAR, INC.",250000.0,1,310000.0,530000.0,1590000.0,Solar
MAPLEBEAR INC. D/B/A INSTACART,100000.0,1,230000.0,290000.0,1180000.0,Big tech
SOUTHERN COMPANY,100000.0,1,2990000.0,3080000.0,10820000.0,Utilities
"ID.ME, LLC",100000.0,1,200000.0,270000.0,960000.0,Big tech
FUJIFILM HOLDINGS AMERICA CORPORATION,50000.0,1,225000.0,245000.0,860000.0,Industrial
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,50000.0,1,350000.0,470000.0,1750000.0,Big tech
REWORLD WASTE LLC,50000.0,1,210000.0,310000.0,1450000.0,Utilities
SOLAR ENERGY INDUSTRIES ASSOCIATION,50000.0,1,460000.0,710000.0,2820000.0,Solar
CENTENE CORPORATION,50000.0,1,620000.0,860000.0,4170000.0,Healthcare
